"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1988-12","Dec-1988","PC","Percentage","0","Units",,,12.82,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1989-01","Jan-1989","PC","Percentage","0","Units",,,13.21,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1989-02","Feb-1989","PC","Percentage","0","Units",,,13.2,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1989-03","Mar-1989","PC","Percentage","0","Units",,,13.57,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1989-04","Apr-1989","PC","Percentage","0","Units",,,13.51,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1989-05","May-1989","PC","Percentage","0","Units",,,13.62,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1989-06","Jun-1989","PC","Percentage","0","Units",,,13.78,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1989-07","Jul-1989","PC","Percentage","0","Units",,,12.577,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1989-08","Aug-1989","PC","Percentage","0","Units",,,13.7,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1989-09","Sep-1989","PC","Percentage","0","Units",,,13.74,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1989-10","Oct-1989","PC","Percentage","0","Units",,,13.81,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1989-11","Nov-1989","PC","Percentage","0","Units",,,14,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1989-12","Dec-1989","PC","Percentage","0","Units",,,14.49,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1990-01","Jan-1990","PC","Percentage","0","Units",,,14.49,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1990-02","Feb-1990","PC","Percentage","0","Units",,,14.62,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1990-03","Mar-1990","PC","Percentage","0","Units",,,14.86,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1990-04","Apr-1990","PC","Percentage","0","Units",,,14.79,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1990-05","May-1990","PC","Percentage","0","Units",,,14.63,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1990-06","Jun-1990","PC","Percentage","0","Units",,,14.49,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1990-07","Jul-1990","PC","Percentage","0","Units",,,14.45,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1990-08","Aug-1990","PC","Percentage","0","Units",,,14.67,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1990-09","Sep-1990","PC","Percentage","0","Units",,,15.14,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1990-10","Oct-1990","PC","Percentage","0","Units",,,14.86,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1990-11","Nov-1990","PC","Percentage","0","Units",,,14.59,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1990-12","Dec-1990","PC","Percentage","0","Units",,,14.54,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1991-01","Jan-1991","PC","Percentage","0","Units",,,14.52,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1991-02","Feb-1991","PC","Percentage","0","Units",,,14.13,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1991-03","Mar-1991","PC","Percentage","0","Units",,,13.15,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1991-04","Apr-1991","PC","Percentage","0","Units",,,12.53,,
