"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","M","Monthly","2017-12","Dec-2017","PC","Percentage","0","Units",,,0.3,,
"IRLT","Long-term interest rates, Per cent per annum","GRC","Greece","A","Annual","2017","2017","PC","Percentage","0","Units",,,5.978333,,
"IRLT","Long-term interest rates, Per cent per annum","GRC","Greece","M","Monthly","2017-01","Jan-2017","PC","Percentage","0","Units",,,7.04,,
"IRLT","Long-term interest rates, Per cent per annum","GRC","Greece","M","Monthly","2017-02","Feb-2017","PC","Percentage","0","Units",,,7.52,,
"IRLT","Long-term interest rates, Per cent per annum","GRC","Greece","M","Monthly","2017-03","Mar-2017","PC","Percentage","0","Units",,,7.17,,
"IRLT","Long-term interest rates, Per cent per annum","GRC","Greece","M","Monthly","2017-04","Apr-2017","PC","Percentage","0","Units",,,6.7,,
"IRLT","Long-term interest rates, Per cent per annum","GRC","Greece","M","Monthly","2017-05","May-2017","PC","Percentage","0","Units",,,5.86,,
"IRLT","Long-term interest rates, Per cent per annum","GRC","Greece","M","Monthly","2017-06","Jun-2017","PC","Percentage","0","Units",,,5.76,,
"IRLT","Long-term interest rates, Per cent per annum","GRC","Greece","M","Monthly","2017-07","Jul-2017","PC","Percentage","0","Units",,,5.33,,
"IRLT","Long-term interest rates, Per cent per annum","GRC","Greece","M","Monthly","2017-08","Aug-2017","PC","Percentage","0","Units",,,5.55,,
"IRLT","Long-term interest rates, Per cent per annum","GRC","Greece","M","Monthly","2017-09","Sep-2017","PC","Percentage","0","Units",,,5.56,,
"IRLT","Long-term interest rates, Per cent per annum","GRC","Greece","M","Monthly","2017-10","Oct-2017","PC","Percentage","0","Units",,,5.59,,
"IRLT","Long-term interest rates, Per cent per annum","GRC","Greece","M","Monthly","2017-11","Nov-2017","PC","Percentage","0","Units",,,5.22,,
"IRLT","Long-term interest rates, Per cent per annum","GRC","Greece","M","Monthly","2017-12","Dec-2017","PC","Percentage","0","Units",,,4.44,,
"IRLT","Long-term interest rates, Per cent per annum","HUN","Hungary","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.9625,,
"IRLT","Long-term interest rates, Per cent per annum","HUN","Hungary","M","Monthly","2017-01","Jan-2017","PC","Percentage","0","Units",,,3.4,,
"IRLT","Long-term interest rates, Per cent per annum","HUN","Hungary","M","Monthly","2017-02","Feb-2017","PC","Percentage","0","Units",,,3.52,,
"IRLT","Long-term interest rates, Per cent per annum","HUN","Hungary","M","Monthly","2017-03","Mar-2017","PC","Percentage","0","Units",,,3.48,,
"IRLT","Long-term interest rates, Per cent per annum","HUN","Hungary","M","Monthly","2017-04","Apr-2017","PC","Percentage","0","Units",,,3.28,,
